x,prob1,x,prob2
1.228779964,0.0701754385964912,1.228779964,0.024390243902439
1.728779964,0.103070175438596,1.728779964,0.0365853658536585
2.228779964,0.12280701754386,2.228779964,0.0630081300813008
2.728779964,0.135964912280702,2.728779964,0.0995934959349594
3.228779964,0.151315789473684,3.228779964,0.128048780487805
3.728779964,0.129385964912281,3.728779964,0.150406504065041
4.228779964,0.087719298245614,4.228779964,0.132113821138211
4.728779964,0.100877192982456,4.728779964,0.117886178861789
5.228779964,0.0635964912280702,5.228779964,0.109756097560976
5.728779964,0.0241228070175439,5.728779964,0.0670731707317073
6.228779964,0.0109649122807018,6.228779964,0.0528455284552846
6.728779964,0,6.728779964,0.0182926829268293
