c,abd,ant
1,2.846094029,2.036022404
1,3.510771228,1.799065952
1,3.097389276,4.260355329
1,1.216827666,3.099920028
1,0.809915557,3.271427016
1,2.81434413,5.306235992
1,3.096193194,1.106609986
1,2.173624218,3.034326825
1,1.463187597,3.121751617
1,0.465806622,1.822144161
1,3.406115489,4.337270452
1,1.969949996,2.993260098
1,0.999122325,3.535001085
1,3.062361335,2.544684009
1,1.838624057,3.365503465
1,1.652759585,3.851827843
1,3.229415486,2.038781346
1,2.194225957,1.992993421
1,0.928465931,1.883114876
1,3.519286672,4.615003468
1,1.008060927,2.306305819
1,0.826774642,3.405972599
1,3.454318534,2.048281596
1,2.914480285,1.922118309
1,3.341810555,3.952026411
1,2.154022994,3.812628755
1,1.997007601,2.497310229
1,2.677643501,3.8392835
1,0.596326947,2.665161175
1,2.679762745,2.284618273
1,1.947118783,3.443829445
1,3.250393885,2.654374264
1,2.861695009,2.940216119
1,1.532714481,2.325414039
1,0.743689758,4.302255598
1,1.666580754,1.164829504
1,1.279697707,4.205450457
1,0.958133812,1.482481771
1,2.430353946,2.199731274
1,1.239157242,3.278780963
1,0.295382448,5.686755316
1,2.474670299,2.484587011
1,3.98848223,1.441589703
1,1.036553506,1.044652308
1,1.625998161,3.318823212
1,3.636047246,2.665292245
2,4.535745296,5.850510011
2,4.933462405,3.910852931
2,2.696225751,4.580259068
2,3.982800645,4.6311523
2,4.62272293,5.141576672
2,3.196124943,6.409947581
2,3.704638242,4.389195303
2,4.67572474,3.374516211
2,3.783878611,5.607918573
2,2.435651587,4.122743786
2,4.458650073,5.121604522
2,4.323965569,4.435219458
2,3.884922946,4.641998104
2,3.915627868,4.135190135
2,3.781849746,6.656272164
2,5.325117246,5.556197154
2,2.840909479,5.976381613
2,4.602090145,4.185723622
2,5.24147134,4.426306214
2,4.174982798,4.133168267
2,3.114810013,5.889801145
2,3.428955508,5.124495494
2,2.427481371,4.468432753
2,3.374878796,5.912658885
2,3.121361969,2.389878065
2,3.786133167,6.714966186
2,2.094007893,6.724149336
2,3.608279751,5.292205015
2,4.480515716,6.32797113
2,4.304918147,4.211191819
2,3.893040357,4.180098797
2,4.559780875,4.45649066
2,3.950772913,4.406992092
2,2.341245945,4.221030047
2,3.720219472,4.611695488
2,4.965159391,4.945561882
2,5.082065042,2.97292092
2,4.4072352,4.593887512
2,3.907653937,5.823245258
2,4.733534871,4.050981349
2,4.668990839,4.222691522
2,6.059294202,4.886465007
2,3.335964087,4.161100816
2,3.114391428,5.148011375
2,3.656410478,4.0676738
2,5.080322959,4.022023727
2,4.57717221,4.894879146
2,3.429768695,4.904414713
2,3.624942134,4.511692871
2,2.126010661,6.393123358
2,3.908309295,3.778126845
2,4.549664126,3.099953942
2,3.41066054,5.158529615
2,1.80632086,5.153146037
