c,abd,ant
1,1.275101571,3.906984558
1,2.050169851,4.127774466
1,2.516796304,4.1883812
1,2.119709391,2.821201592
1,1.057487141,3.608355287
1,1.04086897,4.221443931
1,2.010667633,3.091789183
1,3.08792242,4.350546861
1,1.384475101,3.449654792
1,1.562419285,4.018095457
1,1.982257191,3.222002794
1,0.595379951,3.956064882
1,2.286040714,3.837859141
1,2.309188437,2.385475375
1,1.35156662,1.956447911
1,2.536965044,3.267942501
1,1.829796101,3.742141631
1,1.565235558,1.59487871
1,1.323292666,3.125961214
1,0.838322097,2.385169779
1,1.624367442,4.541113526
1,0.905023688,2.833229658
1,2.135606888,2.105707685
1,1.103207453,3.032087331
1,2.775682106,0.876415805
1,2.394780983,4.144643169
1,3.060147042,4.406260757
1,4.450295654,1.453476195
1,2.706943922,2.100521946
1,1.372124995,3.840333435
1,0.577349731,4.148111333
1,3.369902309,2.518077616
1,1.317457238,2.246574813
1,1.337060614,3.437443607
1,2.697176065,2.805840036
1,2.156486423,2.766894498
1,0.524780288,4.160079417
1,2.490156814,4.558513494
1,1.778186249,2.375226529
1,3.599856341,3.954735469
1,0.909701001,3.214448867
1,1.783180474,3.998390902
1,2.886570287,4.381403802
1,3.335094944,3.797587701
1,1.173179016,2.548634715
1,3.999158774,5.025224588
1,2.471008317,4.203945655
1,1.950451177,2.965725103
1,3.273565887,2.143839762
1,2.217445819,3.689238534
1,1.848089887,3.353039546
1,2.884925505,3.520357109
1,1.525117636,3.495034668
1,2.308557709,4.118952804
1,1.788746256,3.119158512
1,3.302430098,4.996431207
2,4.430345834,4.627487822
2,2.606912083,5.897627121
2,2.61842228,3.377345865
2,3.637045278,3.928914519
2,3.847383767,5.302288505
2,5.344816263,6.041754198
2,3.635391663,4.835609139
2,3.11723356,5.276013146
2,1.788373564,5.997304504
2,3.648875163,5.961232688
2,3.347345929,4.293496976
2,3.487305261,5.633501973
2,5.125868523,3.237585034
2,2.298969192,3.625409361
2,4.631677626,5.124137345
2,5.56464214,5.808006954
2,4.561730474,5.554911168
2,6.003598882,4.556362065
2,3.466253138,4.78045537
2,4.535385326,6.093241633
2,2.759572002,6.775234763
2,3.329181127,5.142534886
2,3.795745319,5.668359452
2,3.686260769,4.806622568
2,4.243570467,4.840285668
2,4.752701301,4.137626889
2,4.67533546,3.504140826
2,5.634372307,2.861674297
2,4.698174457,5.265834232
2,4.42767252,5.492850623
2,3.231257072,3.84945362
2,3.111270008,6.002461373
2,3.962096372,6.24717911
2,4.391871254,4.59622468
2,3.575421671,6.022672086
2,3.620412243,6.022544935
2,4.887659249,5.010565083
2,3.920025617,5.596415403
2,4.158615895,5.276447941
2,3.321227041,4.832546573
2,4.987326933,3.24187083
2,3.455990905,4.230249093
2,2.205776815,5.336486816
2,5.074000843,3.874163602
