x,prob1,x,prob2
1.126415805,0.0729613733905579,1.126415805,0.0203252032520325
1.626415805,0.092274678111588,1.626415805,0.0345528455284553
2.126415805,0.124463519313305,2.126415805,0.0609756097560976
2.626415805,0.130901287553648,2.626415805,0.0934959349593496
3.126415805,0.145922746781116,3.126415805,0.117886178861789
3.626415805,0.124463519313305,3.626415805,0.148373983739837
4.126415805,0.0836909871244635,4.126415805,0.132113821138211
4.626415805,0.11587982832618,4.626415805,0.121951219512195
5.126415805,0.0622317596566524,5.126415805,0.123983739837398
5.626415805,0.0321888412017167,5.626415805,0.0609756097560976
6.126415805,0.0128755364806867,6.126415805,0.0609756097560976
6.626415805,0.00214592274678112,6.626415805,0.024390243902439
