c,abd,ant
1,2.924639386,1.766943687
1,0.883552137,3.222169972
1,3.256084331,3.113738643
1,2.090574008,3.573942654
1,2.637845089,1.65802283
1,2.076445969,2.521380389
1,3.081284058,2.203110987
1,2.385435732,3.444542708
1,0.626370737,3.412781554
1,0.598684952,2.081130252
1,2.30919987,3.138799585
1,1.359360161,2.848048748
1,1.653714402,2.266866661
1,1.963922352,3.431057369
1,1.944567027,3.491482476
1,1.194887204,2.68460298
1,3.387064281,3.851639117
1,1.418597734,2.692111608
1,0.354623713,3.717000069
1,1.428343507,3.035721129
1,2.274160166,4.34390727
1,0.777871116,4.153696236
1,2.679163882,2.519047043
1,2.610194137,3.752171331
1,2.73947513,4.180831954
1,2.498966765,1.934689594
1,0.48991006,1.411331482
1,1.041389751,3.773648443
1,0.597667736,2.973490428
1,1.512171052,3.885450406
1,2.571105197,1.589686085
1,2.39252118,3.586210469
1,1.508264215,4.852875833
1,2.220262781,2.37176923
1,2.172653729,2.290295608
1,3.286369765,3.145691134
1,2.654762514,4.637476126
1,1.593504259,1.128221372
1,2.793894147,3.213304601
1,2.152289375,4.128848119
1,3.790235305,2.720615132
1,3.858461615,3.301121617
1,1.426444586,3.31118043
1,3.261167599,3.015469339
1,2.75247211,3.672292419
1,2.30825071,3.629703534
1,1.826717006,2.597638075
1,1.464148047,4.645723401
1,2.685244936,2.088184914
1,2.490881701,2.65475461
2,5.513340519,5.373642449
2,5.088661936,3.784163779
2,4.624205314,5.445433967
2,4.269391595,4.459743228
2,4.741097543,4.699292171
2,2.21460094,4.535691551
2,5.39091137,3.6405835
2,4.49900637,4.123375606
2,4.054439424,5.436198704
2,3.717442866,5.878790911
2,3.264153275,5.050797481
2,4.928738061,5.318325878
2,3.018859224,6.125513241
2,3.061191797,5.244436356
2,5.112807813,4.053998084
2,3.270802389,4.213298156
2,3.090800682,3.547501473
2,3.914416997,6.783288485
2,1.876766142,4.535240118
2,4.226273146,5.073690885
2,3.141898099,6.010805714
2,4.379579093,4.920360907
2,3.480970799,4.74919847
2,4.14377916,4.356349355
2,3.72524354,5.292844099
2,2.31161737,5.095248344
2,3.763567939,6.154348157
2,4.829173721,4.443862568
2,2.305120807,2.76205696
2,3.140086059,5.145807151
2,3.027610974,5.474885343
2,4.728965283,3.728361694
2,2.941987727,5.07055842
2,3.734336338,4.577049384
2,3.490984669,5.332498195
2,2.083217965,3.662268525
2,4.388215593,7.051879889
2,1.748504181,5.118286664
2,4.899315738,3.580516383
2,4.98693821,4.468006568
2,4.85539122,5.627476236
2,4.742256387,6.652739158
2,2.595515697,6.179735004
